Legend:
{Program}
({Primes up to number}, #processors)
1: 0.004093, 0.011776
2: 0.004092, 0.011646
3: 0.004040, 0.011818
A: 0.004075, 0.011747
(10^7, 8)
1: 0.003093, 0.010607
2: 0.003080, 0.010619
3: 0.003038, 0.010550
A: 0.003071, 0.010592
(10^7, 10)
1: 0.002762, 0.009846
2: 0.002750, 0.009619
3: 0.002721, 0.009718
A: 0.002745, 0.009727
(10^7, 12)
1: 0.002376, 0.009888
2: 0.002176, 0.011246
3: 0.002304, 0.010976
A: 0.002283, 0.010704

Some further scaling:
(10^8, 18)
1: 0.008995, 0.446841
(10^8, 10)
1: 0.007720, 0.467057
(10^8, 12)
1: 0.008324, 0.485236

(10^9, 8)
1: 0.056448, 5.451345
(10^9, 10)
1: 0.050676, 5.771331
(10^9, 12)
1: 0.049150, 5.961336

(10^10, 8)
1: 0.527745, 62.963365
(10^10, 10)
1: 0.473694, 66.140307
(10^10, 12)
1: 0.432913, 67.196709

BSPTwins
(10^7, 1)
1: 0.006990, 0.019693, 0.042795
2: 0.007006, 0.019106, 0.042219
3: 0.007025, 0.020981, 0.044040
A: 0.007007, 0.019927, 0.043018

(10^7, 2)
1: 0.006005, 0.018413, 0.039905
2: 0.006025, 0.018271, 0.039791
3: 0.006052, 0.018544, 0.039986
A: 0.006027, 0.018410, 0.039894

(10^7, 4)
1: 0.004931, 0.010023, 0.022713
2: 0.005083, 0.009994, 0.022835
3: 0.004975, 0.010172, 0.022898
A: 0.004997, 0.010063, 0.022816

(10^7, 8)
1: 0.003032, 0.007469, 0.014547
2: 0.003008, 0.007634, 0.014599
3: 0.003176, 0.007460, 0.014598
A: 0.003072, 0.007521, 0.014582

BSPConj
(10^7, 1)
1: 0.007033, 0.019769, 0.475297
2: 0.007044, 0.019636, 0.474933
3: 0.007030, 0.021239, 0.476682
A: 0.007036, 0.020215, 0.475638

(10^7, 2)
1: 0.006065, 0.018596, 0.457951
2: 0.006038, 0.018590, 0.457580
3: 0.006089, 0.018105, 0.457032
A: 0.006064, 0.018431, 0.457521

(10^7, 4)
1: 0.005036, 0.010503, 0.243721
2: 0.004996, 0.010057, 0.243178
3: 0.005073, 0.009850, 0.244575
A: 0.005035, 0.010137, 0.243825

(10^7, 8)
1: 0.003165, 0.007473, 0.136244
2: 0.003167, 0.007301, 0.135947
3: 0.003033, 0.007400, 0.135802
A: 0.003122, 0.007392, 0.135998
